"subject" "item" "condition" "rawRT"
"8277" 34 11 "subjgap" 1163
"8292" 34 12 "objgap" 316
"8305" 34 13 "subjgap" 271
"8322" 34 14 "objgap" 237
"8339" 34 15 "subjgap" 259
"8355" 34 16 "objgap" 304
"8370" 35 1 "objgap" 360
"8383" 35 2 "subjgap" 705
"8398" 35 3 "objgap" 354
"8413" 35 4 "subjgap" 401
"8432" 35 5 "objgap" 847
"8444" 35 6 "subjgap" 311
"8464" 35 7 "objgap" 371
"8476" 35 8 "subjgap" 420
"8496" 35 9 "objgap" 327
"8509" 35 10 "subjgap" 325
"8525" 35 11 "objgap" 723
"8536" 35 12 "subjgap" 347
"8553" 35 13 "objgap" 482
"8566" 35 14 "subjgap" 397
"8587" 35 15 "objgap" 405
"8599" 35 16 "subjgap" 385
"8614" 36 1 "subjgap" 189
"8631" 36 2 "objgap" 497
"8642" 36 3 "subjgap" 676
"8661" 36 4 "objgap" 1119
"8676" 36 5 "subjgap" 204
"8692" 36 6 "objgap" 451
"8708" 36 7 "subjgap" 231
"8724" 36 8 "objgap" 208
"8740" 36 9 "subjgap" 205
"8757" 36 10 "objgap" 1488
"8769" 36 11 "subjgap" 234
"8784" 36 12 "objgap" 246
"8797" 36 13 "subjgap" 600
"8814" 36 14 "objgap" 497
"8831" 36 15 "subjgap" 204
"8847" 36 16 "objgap" 1695
"8862" 37 1 "objgap" 770
"8875" 37 2 "subjgap" 536
"8890" 37 3 "objgap" 686
"8905" 37 4 "subjgap" 578
"8924" 37 5 "objgap" 457
"8936" 37 6 "subjgap" 487
"8956" 37 7 "objgap" 2419
"8968" 37 8 "subjgap" 884
"8988" 37 9 "objgap" 3365
"9001" 37 10 "subjgap" 233
"9017" 37 11 "objgap" 715
"9028" 37 12 "subjgap" 671
"9045" 37 13 "objgap" 1104
"9058" 37 14 "subjgap" 281
"9079" 37 15 "objgap" 1081
"9091" 37 16 "subjgap" 971
"9106" 38 1 "subjgap" 405
"9123" 38 2 "objgap" 461
"9134" 38 3 "subjgap" 319
"9153" 38 4 "objgap" 435
"9168" 38 5 "subjgap" 517
"9184" 38 6 "objgap" 435
"9200" 38 7 "subjgap" 409
"9216" 38 8 "objgap" 548
"9232" 38 9 "subjgap" 528
"9249" 38 10 "objgap" 465
"9261" 38 11 "subjgap" 290
"9276" 38 12 "objgap" 391
"9289" 38 13 "subjgap" 403
"9306" 38 14 "objgap" 524
"9323" 38 15 "subjgap" 323
"9339" 38 16 "objgap" 332
"9354" 39 1 "objgap" 729
"9367" 39 2 "subjgap" 246
"9382" 39 3 "objgap" 254
"9397" 39 4 "subjgap" 254
"9416" 39 5 "objgap" 369
"9428" 39 6 "subjgap" 358
"9448" 39 7 "objgap" 267
"9460" 39 8 "subjgap" 255
"9480" 39 9 "objgap" 213
"9493" 39 10 "subjgap" 1026
"9509" 39 11 "objgap" 269
"9520" 39 12 "subjgap" 280
"9537" 39 13 "objgap" 287
"9550" 39 14 "subjgap" 284
"9571" 39 15 "objgap" 358
"9583" 39 16 "subjgap" 261
"9598" 40 1 "subjgap" 275
"9615" 40 2 "objgap" 336
"9626" 40 3 "subjgap" 339
"9645" 40 4 "objgap" 245
"9660" 40 5 "subjgap" 283
"9676" 40 6 "objgap" 480
"9692" 40 7 "subjgap" 469
"9708" 40 8 "objgap" 274
"9723" 40 9 "subjgap" 360
"9740" 40 10 "objgap" 729
"9752" 40 11 "subjgap" 488
"9767" 40 12 "objgap" 441
"9780" 40 13 "subjgap" 467
"9797" 40 14 "objgap" 273
"9814" 40 15 "subjgap" 470
"9830" 40 16 "objgap" 449
"9845" 41 1 "objgap" 413
"9858" 41 2 "subjgap" 203
"9873" 41 3 "objgap" 327
"9888" 41 4 "subjgap" 315
"9907" 41 5 "objgap" 341
"9919" 41 6 "subjgap" 655
"9939" 41 7 "objgap" 905
"9951" 41 8 "subjgap" 181
"9971" 41 9 "objgap" 320
"9984" 41 10 "subjgap" 319
"10000" 41 11 "objgap" 424
"10011" 41 12 "subjgap" 311
"10028" 41 13 "objgap" 242
"10041" 41 14 "subjgap" 241
"10062" 41 15 "objgap" 323
"10074" 41 16 "subjgap" 206
"10089" 42 1 "subjgap" 204
"10106" 42 2 "objgap" 166
"10117" 42 3 "subjgap" 412
"10136" 42 4 "objgap" 167
"10151" 42 5 "subjgap" 270
"10167" 42 6 "objgap" 159
"10183" 42 7 "subjgap" 237
"10199" 42 8 "objgap" 192
"10215" 42 9 "subjgap" 229
"10232" 42 10 "objgap" 173
"10244" 42 11 "subjgap" 181
"10259" 42 12 "objgap" 173
"10272" 42 13 "subjgap" 263
"10289" 42 14 "objgap" 181
"10306" 42 15 "subjgap" 251
"10322" 42 16 "objgap" 316
